"student_track_id","student_id","track_name","date_enrolled","track_completed","days_for_completion","completion_bucket"
3612,262162,Data Scientist,2022-01-31,0,,
3613,262166,Data Analyst,2022-01-31,0,,
3614,262169,Data Analyst,2022-01-31,0,,
3615,262174,Data Analyst,2022-06-07,0,,
3616,262179,Data Analyst,2022-01-31,0,,
3617,262182,Data Analyst,2022-01-31,0,,
3618,262184,Data Scientist,2022-02-15,0,,
3619,262194,Data Analyst,2022-02-01,0,,
3620,262196,Data Analyst,2022-02-01,0,,
3621,262198,Data Analyst,2022-02-01,0,,
3622,262198,Data Scientist,2022-02-01,0,,
3623,262203,Data Scientist,2022-03-24,0,,
3624,262206,Business Analyst,2022-02-01,0,,
3625,262206,Data Analyst,2022-02-01,0,,
3626,262208,Data Scientist,2022-02-01,0,,
3627,262212,Business Analyst,2022-02-01,0,,
3628,262213,Business Analyst,2022-02-01,0,,
3629,262217,Data Analyst,2022-02-01,0,,
3630,262226,Data Analyst,2022-02-01,0,,
3631,262237,Data Scientist,2022-02-04,0,,
3632,262245,Business Analyst,2022-02-01,0,,
3633,262249,Data Scientist,2022-02-01,0,,
3634,262251,Data Analyst,2022-03-30,0,,
3635,262252,Data Analyst,2022-02-01,0,,
3636,262257,Data Scientist,2022-02-01,0,,
3637,262260,Data Scientist,2022-02-01,0,,
3638,262263,Business Analyst,2022-02-08,0,,
3639,262268,Data Scientist,2022-02-02,0,,
3640,262271,Data Analyst,2022-02-01,0,,
3641,262282,Data Analyst,2022-02-01,0,,
3642,262283,Data Analyst,2022-02-01,0,,
3643,262284,Data Scientist,2022-02-01,0,,
3644,262285,Data Analyst,2022-02-01,0,,
3645,262287,Data Analyst,2022-02-01,0,,
3646,262292,Data Analyst,2022-02-01,0,,
3647,262298,Data Analyst,2022-02-02,0,,
3648,262299,Data Analyst,2022-03-01,0,,
3649,262304,Business Analyst,2022-02-07,0,,
3650,262309,Data Analyst,2022-02-02,0,,
3651,262318,Data Analyst,2022-02-02,0,,
3652,262320,Data Scientist,2022-02-02,0,,
3653,262322,Data Scientist,2022-02-02,0,,
3654,262324,Data Scientist,2022-02-02,0,,
3655,262325,Data Analyst,2022-02-02,0,,
3656,262326,Data Analyst,2022-02-02,0,,
3657,262327,Data Analyst,2022-02-02,0,,
3658,262328,Data Scientist,2022-02-08,0,,
3659,262329,Data Scientist,2022-03-07,0,,
3660,262333,Business Analyst,2022-02-02,0,,
3661,262344,Data Scientist,2022-02-02,0,,
3662,262348,Data Scientist,2022-02-02,0,,
3663,262349,Data Analyst,2022-02-02,0,,
3664,262351,Data Scientist,2022-02-02,0,,
3665,262355,Data Scientist,2022-02-02,0,,
3666,262357,Data Analyst,2022-02-02,0,,
3667,262357,Data Scientist,2022-02-02,0,,
3668,262358,Data Analyst,2022-02-02,0,,
3669,262363,Data Analyst,2022-05-20,0,,
3670,262368,Data Analyst,2022-02-02,0,,
3671,262368,Data Scientist,2022-02-02,0,,
3672,262374,Business Analyst,2022-02-02,0,,
